c_fundae,id_grupo,denominacion_accion_formativa,Estado
001-01,56971,Curso de Inglés Nivel Intermedio,Finalizado
002-01,56993,Curso de Inglés - Advanced,Finalizado
002-02,57017,Curso de Inglés - Advanced,Finalizado
003-01,57813,Curso de Inglés Nivel Intermediate,Finalizado
004-01,57865,Curso de Inglés - Advanced,Finalizado
005-01,57932,Curso de Inglés Nivel B1,Finalizado
006-01,65773,Curso de Inglés Nivel B2,Válido
007-01,57996,Curso de Castellano,Válido
008-01,58009,Curso de Castellano,Válido
009-01,102020,Curso de Inglés - A2 Level - Elementary,Válido
009-02,102244,Curso de Inglés - A2 Level - Elementary,Válido
009-03,102285,Curso de Inglés - A2 Level - Elementary,Válido
009-04,102348,Curso de Inglés - A2 Level - Elementary,Válido
009-05,102386,Curso de Inglés - A2 Level - Elementary,Válido
010-01,102738,Curso de Inglés - B1 Level - Intermediate,Válido
010-02,102770,Curso de Inglés - B1 Level - Intermediate,Válido
010-03,102786,Curso de Inglés - B1 Level - Intermediate,Válido
010-04,102872,Curso de Inglés - B1 Level - Intermediate,Válido
010-05,102892,Curso de Inglés - B1 Level - Intermediate,Válido
010-06,102907,Curso de Inglés - B1 Level - Intermediate,Válido
010-07,102926,Curso de Inglés - B1 Level - Intermediate,Válido
011-01,102956,Curso de Inglés - B1.2 Level – Intermediate,Válido
011-02,103045,Curso de Inglés - B1.2 Level – Intermediate,Válido
012-01,103093,Curso de Inglés - B2 Level – Upper Intermediate,Válido
012-02,103745,Curso de Inglés - B2 Level – Upper Intermediate,Válido
012-03,103778,Curso de Inglés - B2 Level – Upper Intermediate,Válido
012-04,103811,Curso de Inglés - B2 Level – Upper Intermediate,Válido
012-05,104208,Curso de Inglés - B2 Level – Upper Intermediate,Válido
012-06,104224,Curso de Inglés - B2 Level – Upper Intermediate,Válido
013-01,104265,Curso de Inglés - C1 Level – Advanced,Válido
013-02,104279,Curso de Inglés - C1 Level – Advanced,Válido
014-01,90458,Curso de Inglés Nivel B1,Válido
015-01,90459,Curso de Inglés Nivel B1,Válido
016-01,90460,Curso de Inglés Nivel Intermedio,Válido
017-01,90462,Curso de Inglés Nivel Intermedio Plus,Válido
017-02,281585,Curso de Inglés Nivel Intermediate Plus,Válido
018-01,90463,Curso de Inglés - Advanced,Válido
019-01,93036,Curso de Alemán Nivel Avanzado.,Válido
019-02,93121,Curso de Alemán Nivel Avanzado.,Válido
019-03,94117,Curso de Alemán Nivel Avanzado.,Válido
020-01,107749,Curso de Inglés - Intermediate Level.,Finalizado
020-02,107769,Curso de Inglés - Intermediate Level.,Finalizado
021-01,107845,Curso de Inglés Nivel Intermediate Upper Levels.,Finalizado
022-01,108247,Curso de Inglés - Nivel Intermedio,Finalizado
022-02,108356,Curso de Inglés - Nivel Intermedio,Finalizado
023-01,108408,Curso de Inglés - Upper Intermediate.,Finalizado
024-01,108445,Curso de Inglés - Nivel Intermedio - Alto,Válido
025-01,108978,Curso de Inglés Nivel - Advanced Level.,Válido
026-01,111721,Curso de francés - Nivel Principiante - Bajo,Válido
027-01,111908,Curso de francés - Nivel Principiante.,Finalizado
028-01,112049,Curso de Frances INTERMEDIATE LEVEL,Finalizado
029-01,119222,Curso de Inglés Nivel B1,Finalizado
030-01,141759,Curso de Inglés Nivel Intermedio,Finalizado
031-01,148060,Curso de Inglés Nivel Avanzado.,Finalizado
032-01,198211,Curso de Inglés Nivel A2 / Beginners,Válido
033-01,204113,Curso de Inglés Nivel A2,Finalizado
034-01,250586,Curso de Inglés Nivel A2,Finalizado
035-01,279120,Curso de Inglés Nivel A2 - CENIEH,Válido
036-01,279184,Curso de Inglés Nivel B1 - CENIEH,Válido
037-01,279260,Curso de Inglés Nivel B1.2 - CENIEH,Válido
038-01,279315,Curso de Inglés Nivel B2 - CENIEH,Válido
039-01,279411,Curso de Inglés Nivel Avanzado - CENIEH,Válido
040-01,254387,Curso de Inglés Nivel B1 - Attrim,Finalizado
041-01,254547,Curso de Inglés Nivel B1.2 - Attrim ,Finalizado
