ID Código Grupo,c_fundae,Acción Formativa,Código Grupo,Tipo de Acción Formativa,Denominación,Inicio,Fin,Not. Inicio,Not. Final,Modalidad,Duracion,Estado,Número de Participantes
56971,001-01,1,1,Propia,Curso de Inglés Nivel Intermedio,2026-01-12,2026-03-31,2026-01-09 18:57:19.913,2026-04-13 12:14:17.213,Teleformación,41,Finalizado,1
56993,002-01,2,1,Propia,Curso de Inglés - Advanced,2026-01-12,2026-03-31,2026-01-09 19:09:29.553,2026-04-13 12:20:20.120,Teleformación,41,Finalizado,1
57017,002-02,2,2,Propia,Curso de Inglés - Advanced,2026-01-12,2026-03-31,2026-01-09 19:08:35.980,2026-04-13 12:26:11.693,Teleformación,41,Finalizado,1
57813,003-01,3,1,Propia,Curso de Inglés Nivel Intermediate,2026-01-12,2026-03-31,2026-01-10 10:02:44.863,2026-04-13 12:31:41.203,Teleformación,82,Finalizado,1
57865,004-01,4,1,Propia,Curso de Inglés - Advanced,2026-01-12,2026-03-31,2026-01-10 10:22:44.183,2026-04-13 12:37:07.803,Teleformación,103,Finalizado,1
57932,005-01,5,1,Propia,Curso de Inglés Nivel B1,2026-01-12,2026-03-31,2026-01-10 10:41:37.657,2026-04-13 12:42:28.780,Teleformación,41,Finalizado,1
65773,006-01,6,1,Propia,Curso de Inglés Nivel B2,2026-01-15,2026-03-31,2026-01-13 09:39:49.893,,Teleformación,41,Válido,1
57996,007-01,7,1,Propia,Curso de Castellano,2026-01-12,2026-03-31,2026-01-10 10:58:19.803,,Teleformación,21,Válido,1
58009,008-01,8,1,Propia,Curso de Castellano,2026-01-12,2026-03-31,2026-01-10 11:05:57.283,,Teleformación,41,Válido,1
102020,009-01,9,1,Propia,Curso de Inglés - A2 Level - Elementary,2026-01-27,2026-05-26,2026-01-21 13:09:50.687,,Presencial,14,Válido,7
102244,009-02,9,2,Propia,Curso de Inglés - A2 Level - Elementary,2026-01-29,2026-05-28,2026-01-21 13:25:31.843,,Presencial,14,Válido,7
102285,009-03,9,3,Propia,Curso de Inglés - A2 Level - Elementary,2026-01-29,2026-05-28,2026-01-21 13:31:11.673,,Presencial,14,Válido,7
102348,009-04,9,4,Propia,Curso de Inglés - A2 Level - Elementary,2026-01-27,2026-05-26,2026-01-21 13:36:35.570,,Presencial,14,Válido,7
102386,009-05,9,5,Propia,Curso de Inglés - A2 Level - Elementary,2026-01-29,2026-05-28,2026-01-21 13:42:13.050,,Presencial,14,Válido,7
102738,010-01,10,1,Propia,Curso de Inglés - B1 Level - Intermediate,2026-01-29,2026-05-28,2026-01-21 14:20:36.907,,Presencial,14,Válido,7
102770,010-02,10,2,Propia,Curso de Inglés - B1 Level - Intermediate,2026-01-29,2026-05-28,2026-01-21 14:26:12.077,,Presencial,14,Válido,7
102786,010-03,10,3,Propia,Curso de Inglés - B1 Level - Intermediate,2026-01-27,2026-05-26,2026-01-21 14:30:07.380,,Presencial,14,Válido,8
102872,010-04,10,4,Propia,Curso de Inglés - B1 Level - Intermediate,2026-01-27,2026-05-26,2026-01-21 14:34:31.320,,Presencial,14,Válido,8
102892,010-05,10,5,Propia,Curso de Inglés - B1 Level - Intermediate,2026-01-28,2026-05-27,2026-01-21 14:39:44.170,,Presencial,14,Válido,8
102907,010-06,10,6,Propia,Curso de Inglés - B1 Level - Intermediate,2026-01-28,2026-05-27,2026-01-21 14:43:46.763,,Presencial,14,Válido,8
102926,010-07,10,7,Propia,Curso de Inglés - B1 Level - Intermediate,2026-01-29,2026-05-28,2026-01-21 14:47:51.573,,Presencial,14,Válido,8
102956,011-01,11,1,Propia,Curso de Inglés - B1.2 Level – Intermediate,2026-01-27,2026-05-26,2026-01-21 14:56:06.627,,Presencial,14,Válido,8
103045,011-02,11,2,Propia,Curso de Inglés - B1.2 Level – Intermediate,2026-01-28,2026-05-27,2026-01-21 14:59:51.467,,Presencial,14,Válido,8
103093,012-01,12,1,Propia,Curso de Inglés - B2 Level – Upper Intermediate,2026-01-29,2026-05-28,2026-01-21 15:14:11.377,,Presencial,14,Válido,8
103745,012-02,12,2,Propia,Curso de Inglés - B2 Level – Upper Intermediate,2026-01-29,2026-05-28,2026-01-21 16:34:06.287,,Presencial,14,Válido,8
